Opcode	Instruction	64-bit Mode	Compat/32-bit-Legacy Mode	Description
80 /1 ib 	OR r/m8, imm8 	V	V	r/m8 OR imm8.
REX+ 80 /1 ib 	OR r/m8, imm8 	V	NE	r/m8 OR imm8.
81 /1 iw 	OR r/m16, imm16 	V	V	r/m16 OR imm16.
81 /1 id 	OR r/m32, imm32 	V	V	r/m32 OR imm32.
REX.W+ 81 /1 id 	OR r/m64, imm32 	V	NE	r/m64 OR imm32 (sign-extended).
83 /1 ib 	OR r/m16, imm8 	V	V	r/m16 OR imm8 (sign-extended).
83 /1 ib 	OR r/m32, imm8 	V	V	r/m32 OR imm8 (sign-extended).
REX.W+ 83 /1 ib 	OR r/m64, imm8 	V	NE	r/m64 OR imm8 (sign-extended).
08 /r 	OR r/m8, r8 	V	V	r/m8 OR r8.
REX+ 08 /r 	OR r/m8, r8	V	NE	r/m8 OR r8.
09 /r 	OR r/m16, r16 	V	V	r/m16 OR r16.
09 /r 	OR r/m32, r32 	V	V	r/m32 OR r32.
REX.W+ 09 /r 	OR r/m64, r64 	V	NE	r/m64 OR r64.
0A /r 	OR r8, r/m8 	V	V	r8 OR r/m8.
REX+ 0A /r 	OR r8, r/m8	V	NE	r8 OR r/m8.
0B /r 	OR r16, r/m16 	V	V	r16 OR r/m16.
0B /r 	OR r32, r/m32 	V	V	r32 OR r/m32.
REX.W+ 0B /r 	OR r64, r/m64 	V	NE	r64 OR r/m64.
				
66 0F 56 /r 	ORPD xmm1, xmm2/m128	V	V	Bitwise OR of xmm2/m128 and xmm1.
VEX.NDS.128.66.0F.WIG 56 /r 	VORPD xmm1, xmm2, xmm3/m128 	V	V	Return the bitwise logical OR of packed double-precision floating-point values in xmm2 and xmm3/mem.
VEX.NDS.256.66.0F.WIG 56 /r 	VORPD ymm1, ymm2, ymm3/m256	V	V	Return the bitwise logical OR of packed double-precision floating-point values in ymm2 and ymm3/mem.
				
0F 56 /r 	ORPS xmm1, xmm2/m128	V	V	Bitwise OR of xmm1 and xmm2/m128.
VEX.NDS.128.0F.WIG 56 /r	VORPS xmm1, xmm2, xmm3/m128	V	V	Return the bitwise logical OR of packed single-precision floating-point values in xmm2 and xmm3/mem.
VEX.NDS.256.0F.WIG 56 /r	VORPS ymm1, ymm2, ymm3/m256	V	V	Return the bitwise logical OR of packed single-precision floating-point values in ymm2 and ymm3/mem.
				
E6 ib 	OUT imm8, AL 	V	V	Output byte in AL to I/O port address imm8.
E7 ib 	OUT imm8, AX 	V	V	Output word in AX to I/O port address imm8.
E7 ib 	OUT imm8, EAX 	V	V	Output doubleword in EAX to I/O port address imm8.
EE 	OUT DX, AL 	V	V	Output byte in AL to I/O port address in DX.
EF 	OUT DX, AX 	V	V	Output word in AX to I/O port address in DX.
EF 	OUT DX, EAX 	V	V	Output doubleword in EAX to I/O port address in DX.
				
6E 	OUTS DX, m8 	V	V	Output byte from memory location specified in DS:(E)SI or RSI to I/O port specified in DX.
6F 	OUTS DX, m16 	V	V	Output word from memory location specified in DS:(E)SI or RSI to I/O port specified in DX.
6F 	OUTS DX, m32 	V	V	Output doubleword from memory location specified in DS:(E)SI or RSI to I/O port specified in DX.
6E 	OUTSB 	V	V	Output byte from memory location specified in DS:(E)SI or RSI to I/O port specified in DX.
PREF.66+ 6F 	OUTSW 	V	V	Output word from memory location specified in DS:(E)SI or RSI to I/O port specified in DX.
6F 	OUTSD 	V	V	Output doubleword from memory location specified in DS:(E)SI or RSI to I/O port specified in DX.
				
0F 38 1C /r 	PABSB mm1, mm2/m64	V	V	Compute the absolute value of bytes in mm2/m64 and store UNSIGNED result in mm1.
66 0F 38 1C /r	PABSB xmm1, xmm2/m128	V	V	Compute the absolute value of bytes in xmm2/m128 and store UNSIGNED result in xmm1.
0F 38 1D /r	PABSW mm1, mm2/m64	V	V	Compute the absolute value of 16-bit integers in mm2/m64 and store UNSIGNED result in mm1.
66 0F 38 1D /r	PABSW xmm1, xmm2/m128	V	V	Compute the absolute value of 16-bit integers in xmm2/m128 and store UNSIGNED result in xmm1.
0F 38 1E /r	PABSD mm1, mm2/m64	V	V	Compute the absolute value of 32-bit integers in mm2/m64 and store UNSIGNED result in mm1.
66 0F 38 1E /r	PABSD xmm1, xmm2/m128	V	V	Compute the absolute value of 32-bit integers in xmm2/m128 and store UNSIGNED result in xmm1.
VEX.128.66.0F38.WIG 1C /r	VPABSB xmm1, xmm2/m128	V	V	Compute the absolute value of bytes in xmm2/m128 and store UNSIGNED result in xmm1.
VEX.128.66.0F38.WIG 1D /r	VPABSW xmm1, xmm2/m128	V	V	Compute the absolute value of 16- bit integers in xmm2/m128 and store UNSIGNED result in xmm1.
VEX.128.66.0F38.WIG 1E /r	VPABSD xmm1, xmm2/m128	V	V	Compute the absolute value of 32- bit integers in xmm2/m128 and store UNSIGNED result in xmm1.
				
0F 63 /r 	PACKSSWB mm1, mm2/m64	V	V	Converts 4 packed signed word integers from mm1 and from mm2/m64 into 8 packed signed byte integers in mm1 using signed saturation.
66 0F 63 /r	PACKSSWB xmm1, xmm2/m128	V	V	Converts 8 packed signed word integers from xmm1 and from xxm2/m128 into 16 packed signed byte integers in xxm1 using signed saturation.
0F 6B /r	PACKSSDW mm1, mm2/m64	V	V	Converts 2 packed signed doubleword integers from mm1 and from mm2/m64 into 4 packed signed word integers in mm1 using signed saturation.
66 0F 6B /r	PACKSSDW xmm1, xmm2/m128	V	V	Converts 4 packed signed doubleword integers from xmm1 and from xxm2/m128 into 8 packed signed word integers in xxm1 using signed saturation.
VEX.NDS.128.66.0F.WIG 63 /r	VPACKSSWB xmm1, xmm2, xmm3/m128	V	V	Converts 8 packed signed word integers from xmm2 and from xmm3/m128 into 16 packed signed byte integers in xmm1 using signed saturation.
VEX.NDS.128.66.0F.WIG 6B /r	VPACKSSDW xmm1, xmm2, xmm3/m128	V	V	Converts 4 packed signed doubleword integers from xmm2 and from xmm3/m128 into 8 packed signed word integers in xmm1 using signed saturation.
				
66 0F 38 2B /r 	PACKUSDW xmm1, xmm2/m128 	V	V	Convert 4 packed signed doubleword integers from xmm1 and 4 packed signed doubleword integers from xmm2/m128 into 8 packed unsigned word integers in xmm1 using unsigned saturation.
VEX.NDS.128.66.0F38.WIG 2B /r 	PACKUSDW xmm1, xmm2, xmm3/m128 	V	V	Convert 4 packed signed doubleword integers from xmm2 and 4 packed signed doubleword integers from xmm3/m128 into 8 packed unsigned word integers in xmm1 using unsigned saturation.
				
0F 67 /r 	PACKUSWB mm, mm/m64	V	V	Converts 4 signed word integers from mm and 4 signed word integers from mm/m64 into 8 unsigned byte integers in mm using unsigned saturation.
66 0F 67 /r	PACKUSWB xmm1, xmm2/m128	V	V	Converts 8 signed word integers from xmm1 and 8 signed word integers from xmm2/m128 into 16 unsigned byte integers in xmm1 using unsigned saturation.
VEX.NDS.128.66.0F.WIG 67 /r	VPACKUSWB xmm1, xmm2, xmm3/m128	V	V	Converts 8 signed word integers from xmm2 and 8 signed word integers from xmm3/m128 into 16 unsigned byte integers in xmm1 using unsigned saturation.
				
0F FC /r 	PADDB mm, mm/m64	V	V	Add packed byte integers from mm/m64 and mm.
66 0F FC /r	PADDB xmm1, xmm2/m128	V	V	Add packed byte integers from xmm2/m128 and xmm1.
0F FD /r	PADDW mm, mm/m64	V	V	Add packed word integers from mm/m64 and mm.
66 0F FD /r	PADDW xmm1, xmm2/m128	V	V	Add packed word integers from xmm2/m128 and xmm1.
0F FE /r	PADDD mm, mm/m64	V	V	Add packed doubleword integers from mm/m64 and mm.
66 0F FE /r	PADDD xmm1, xmm2/m128	V	V	Add packed doubleword integers from xmm2/m128 and xmm1.
VEX.NDS.128.66.0F.WIG FC /r	VPADDB xmm1, xmm2, xmm3/m128	V	V	Add packed byte integers from xmm3/m128 and xmm2.
VEX.NDS.128.66.0F.WIG FD /r	VPADDW xmm1, xmm2, xmm3/m128	V	V	Add packed word integers from xmm3/m128 and xmm2.
VEX.NDS.128.66.0F.WIG FE /r	VPADDD xmm1, xmm2, xmm3/m128	V	V	Add packed doubleword integers from xmm3/m128 and xmm2.
				
0F D4 /r 	PADDQ mm1, mm2/m64	V	V	Add quadword integer mm2/m64 to mm1.
66 0F D4 /r	PADDQ xmm1, xmm2/m128	V	V	Add packed quadword integers xmm2/m128 to xmm1.
VEX.NDS.128.66.0F.WIG D4 /r	VPADDQ xmm1, xmm2, xmm3/m128	V	V	Add packed quadword integers xmm3/m128 and xmm2.
				
0F EC /r 	PADDSB mm, mm/m64	V	V	Add packed signed byte integers from mm/m64 and mm and saturate the results.
66 0F EC /r	PADDSB xmm1, xmm2/m128	V	V	Add packed signed byte integers from xmm2/m128 and xmm1 saturate the results.
0F ED /r	PADDSW mm, mm/m64	V	V	Add packed signed word integers from mm/m64 and mm and saturate the results.
66 0F ED /r	PADDSW xmm1, xmm2/m128	V	V	Add packed signed word integers from xmm2/m128 and xmm1 and saturate the results.
VEX.NDS.128.66.0F.WIG EC /r 	VPADDSB xmm1, xmm2, xmm3/m128 	V	V	Add packed signed byte integers from xmm3/m128 and xmm2 saturate the results.
VEX.NDS.128.66.0F.WIG ED /r 	VPADDSW xmm1, xmm2, xmm3/m128	V	V	Add packed signed word integers from xmm3/m128 and xmm2 and saturate the results.
				
0F DC /r 	PADDUSB mm, mm/m64	V	V	Add packed unsigned byte integers from mm/m64 and mm and saturate the results.
66 0F DC /r	PADDUSB xmm1, xmm2/m128	V	V	Add packed unsigned byte integers from xmm2/m128 and xmm1 saturate the results.
0F DD /r	PADDUSW mm, mm/m64	V	V	Add packed unsigned word integers from mm/m64 and mm and saturate the results.
66 0F DD /r	PADDUSW xmm1, xmm2/m128	V	V	Add packed unsigned word integers from xmm2/m128 to xmm1 and saturate the results.
VEX.NDS.128.660F.WIG DC /r	VPADDUSB xmm1, xmm2, xmm3/m128	V	V	Add packed unsigned byte integers from xmm3/m128 to xmm2 and saturate the results.
VEX.NDS.128.66.0F.WIG DD /r	VPADDUSW xmm1, xmm2, xmm3/m128	V	V	Add packed unsigned word integers from xmm3/m128 to xmm2 and saturate the results.
				
0F 3A 0F 	PALIGNR mm1, mm2/m64, imm8	V	V	Concatenate destination and source operands, extract byte-aligned result shifted to the right by constant value in imm8 into mm1.
66 0F 3A 0F	PALIGNR xmm1, xmm2/m128, imm8	V	V	Concatenate destination and source operands, extract byte-aligned result shifted to the right by constant value in imm8 into xmm1
VEX.NDS.128.66.0F3A.WIG 0F /r ib	VPALIGNR xmm1, xmm2, xmm3/m128, imm8	V	V	Concatenate xmm2 and xmm3/m128, extract byte aligned result shifted to the right by constant value in imm8 and result is stored in xmm1.
				
0F DB /r 	PAND mm, mm/m64	V	V	Bitwise AND mm/m64 and mm.
66 0F DB /r	PAND xmm1, xmm2/m128	V	V	Bitwise AND of xmm2/m128 and xmm1.
VEX.NDS.128.66.0F.WIG DB /r	VPAND xmm1, xmm2, xmm3/m128	V	V	Bitwise AND of xmm3/m128 and xmm.
				
0F DF /r 	PANDN mm, mm/m64	V	V	Bitwise AND NOT of mm/m64 and mm.
66 0F DF /r	PANDN xmm1, xmm2/m128	V	V	Bitwise AND NOT of xmm2/m128 and xmm1.
VEX.NDS.128.66.0F.WIG DF /r	VPANDN xmm1, xmm2, xmm3/m128	V	V	Bitwise AND NOT of xmm3/m128 and xmm2.
				
F3 90 	PAUSE 	V	V	Gives hint to processor that improves performance of spin-wait loops.
				
0F E0 /r 	PAVGB mm1, mm2/m64	V	V	Average packed unsigned byte integers from mm2/m64 and mm1 with rounding.
66 0F E0, /r	PAVGB xmm1, xmm2/m128	V	V	Average packed unsigned byte integers from xmm2/m128 and xmm1 with rounding.
0F E3 /r	PAVGW mm1, mm2/m64	V	V	Average packed unsigned word integers from mm2/m64 and mm1 with rounding.
66 0F E3 /r	PAVGW xmm1, xmm2/m128	V	V	Average packed unsigned word integers from xmm2/m128 and xmm1 with rounding.
VEX.NDS.128.66.0F.WIG E0 /r	VPAVGB xmm1, xmm2, xmm3/m128	V	V	Average packed unsigned byte integers from xmm3/m128 and xmm2 with rounding.
VEX.NDS.128.66.0F.WIG E3 /r	VPAVGW xmm1, xmm2, xmm3/m128	V	V	Average packed unsigned word integers from xmm3/m128 and xmm2 with rounding.
				
66 0F 38 10 /r 	PBLENDVB xmm1, xmm2/m128, <XMM0> 	V	V	Select byte values from xmm1 and xmm2/m128 from mask specified in the high bit of each byte in XMM0 and store the values into xmm1.
VEX.NDS.128.66.0F3A.W0 4C /r /is4 	VPBLENDVB xmm1, xmm2, xmm3/m128, xmm4 	V	V	Select byte values from xmm2 and xmm3/m128 using mask bits in the specified mask register, xmm4, and store the values into xmm1.
				
66 0F 3A 0E /r ib 	PBLENDW xmm1, xmm2/m128, imm8 	V	V	Select words from xmm1 and xmm2/m128 from mask specified in imm8 and store the values into xmm1.
VEX.NDS.128.66.0F3A.WIG 0E /r ib 	VPBLENDW xmm1, xmm2, xmm3/m128, imm8 	V	V	Select words from xmm2 and xmm3/m128 from mask specified in imm8 and store the values into xmm1.
				
66 0F 3A 44 /r ib 	PCLMULQDQ xmm1, xmm2/m128, imm8 	V	V	Carry-less multiplication of one quadword of xmm1 by one quadword of xmm2/m128, stores the 128-bit result in xmm1. The immediate is used to determine which quadwords of xmm1 and xmm2/m128 should be used.
VEX.NDS.128.66.0F3A.WIG 44 /r ib 	VPCLMULQDQ xmm1, xmm2, xmm3/m128, imm8 	V	V	Carry-less multiplication of one quadword of xmm2 by one quadword of xmm3/m128, stores the 128-bit result in xmm1. The immediate is used to determine which quadwords of xmm2 and xmm3/m128 should be used.
				
0F 74 /r 	PCMPEQB mm, mm/m64	V	V	Compare packed bytes in mm/m64 and mm for equality.
66 0F 74 /r	PCMPEQB xmm1, xmm2/m128	V	V	Compare packed bytes in xmm2/m128 and xmm1 for equality.
0F 75 /r	PCMPEQW mm, mm/m64	V	V	Compare packed words in mm/m64 and mm for equality.
66 0F 75 /r	PCMPEQW xmm1, xmm2/m128	V	V	Compare packed words in xmm2/m128 and xmm1 for equality.
0F 76 /r	PCMPEQD mm, mm/m64	V	V	Compare packed doublewords in mm/m64 and mm for equality.
66 0F 76 /r	PCMPEQD xmm1, xmm2/m128	V	V	Compare packed doublewords in xmm2/m128 and xmm1 for equality.
VEX.NDS.128.66.0F.WIG 74 /r	VPCMPEQB xmm1, xmm2, xmm3/m128	V	V	Compare packed bytes in xmm3/m128 and xmm2 for equality.
VEX.NDS.128.66.0F.WIG 75 /r	VPCMPEQW xmm1, xmm2, xmm3/m128	V	V	Compare packed words in xmm3/m128 and xmm2 for equality.
VEX.NDS.128.66.0F.WIG 76 /r	VPCMPEQD xmm1, xmm2, xmm3/m128	V	V	Compare packed doublewords in xmm3/m128 and xmm2 for equality.
				
66 0F 38 29 /r 	PCMPEQQ xmm1, xmm2/m128 	V	V	Compare packed qwords in xmm2/m128 and xmm1 for equality.
VEX.NDS.128.66.0F38.WIG 29 /r 	VPCMPEQQ xmm1, xmm2, xmm3/m128 	V	V	Compare packed quadwords in xmm3/m128 and xmm2 for equality.
				
66 0F 3A 61 /r	PCMPESTRI xmm1, xmm2/m128, imm8 	V	V	Perform a packed comparison of string data with explicit lengths, generating an index, and storing the result in ECX.
VEX.128.66.0F3A.WIG 61 /r ib 	VPCMPESTRI xmm1, xmm2/m128, imm8 	V	V	Perform a packed comparison of string data with explicit lengths, generating an index, and storing the result in ECX.
				
66 0F 3A 60 /r	PCMPESTRM xmm1, xmm2/m128, imm8 	V	V	Perform a packed comparison of string data with explicit lengths, generating a mask, and storing the result in XMM0
VEX.128.66.0F3A.WIG 60 /r ib 	VPCMPESTRM xmm1, xmm2/m128, imm8 	V	V	Perform a packed comparison of string data with explicit lengths, generating a mask, and storing the result in XMM0.
				
0F 64 /r 	PCMPGTB mm, mm/m64	V	V	Compare packed signed byte integers in mm and mm/m64 for greater than.
66 0F 64 /r	PCMPGTB xmm1, xmm2/m128	V	V	Compare packed signed byte integers in xmm1 and xmm2/m128 for greater than.
0F 65 /r	PCMPGTW mm, mm/m64	V	V	Compare packed signed word integers in mm and mm/m64 for greater than.
66 0F 65 /r	PCMPGTW xmm1, xmm2/m128	V	V	Compare packed signed word integers in xmm1 and xmm2/m128 for greater than.
0F 66 /r	PCMPGTD mm, mm/m64	V	V	Compare packed signed doubleword integers in mm and mm/m64 for greater than.
66 0F 66 /r	PCMPGTD xmm1, xmm2/m128	V	V	Compare packed signed doubleword integers in xmm1 and xmm2/m128 for greater than.
VEX.NDS.128.66.0F.WIG 64 /r	VPCMPGTB xmm1, xmm2, xmm3/m128	V	V	Compare packed signed byte integers in xmm2 and xmm3/m128 for greater than.
VEX.NDS.128.66.0F.WIG 65 /r	VPCMPGTW xmm1, xmm2, xmm3/m128	V	V	Compare packed signed word integers in xmm2 and xmm3/m128 for greater than.
VEX.NDS.128.66.0F.WIG 66 /r	VPCMPGTD xmm1, xmm2, xmm3/m128	V	V	Compare packed signed doubleword integers in xmm2 and xmm3/m128 for greater than.
				
66 0F 38 37 /r 	PCMPGTQ xmm1, xmm2/m128 	V	V	Compare packed signed qwords in xmm2/m128 and xmm1 for greater than.
VEX.NDS.128.66.0F38.WIG 37 /r 	VPCMPGTQ xmm1, xmm2, xmm3/m128 	V	V	Compare packed signed qwords in xmm2 and xmm3/m128 for greater than.
				
66 0F 3A 63 /r	PCMPISTRI xmm1, xmm2/m128, imm8 	V	V	Perform a packed comparison of string data with implicit lengths, generating an index, and storing the result in ECX.
VEX.128.66.0F3A.WIG 63 /r ib 	VPCMPISTRI xmm1, xmm2/m128, imm8 	V	V	Perform a packed comparison of string data with implicit lengths, generating an index, and storing the result in ECX.
				
66 0F 3A 62 /r	PCMPISTRM xmm1, xmm2/m128, imm8 	V	V	Perform a packed comparison of string data with implicit lengths, generating a mask, and storing the result in XMM0.
VEX.128.66.0F3A.WIG 62 /r ib 	VPCMPISTRM xmm1, xmm2/m128, imm8 	V	V	Perform a packed comparison of string data with implicit lengths, generating a Mask, and storing the result in XMM0.
				
66 0F 3A 14 /r ib 	PEXTRB reg/m8, xmm2, imm8 	V	V	Extract a byte integer value from xmm2 at the source byte offset specified by imm8 into rreg or m8. The upper bits of r32 or r64 are zeroed.
66 0F 3A 16 /r ib 	PEXTRD r/m32, xmm2, imm8 	V	V	Extract a dword integer value from xmm2 at the source dword offset specified by imm8 into r/m32.
66 REX.W+ 0F 3A 16 /r ib 	PEXTRQ r/m64, xmm2, imm8 	V	NE	Extract a qword integer value from xmm2 at the source qword offset specified by imm8 into r/m64.
VEX.128.66.0F3A.W0 14 /r ib 	VPEXTRB reg/m8, xmm2, imm8 	V	V	Extract a byte integer value from xmm2 at the source byte offset specified by imm8 into reg or m8. The upper bits of r64/r32 is filled with
VEX.128.66.0F3A.W0 16 /r ib 	VPEXTRD r32/m32, xmm2, imm8 	V	V	Extract a dword integer value from xmm2 at the source dword offset specified by imm8 into r32/m32.
VEX.128.66.0F3A.W1 16 /r ib 	VPEXTRQ r64/m64, xmm2, imm8 	V	I	Extract a qword integer value from xmm2 at the source dword offset specified by imm8 into r64/m64.
				
0F C5 /r ib 	PEXTRW reg, mm, imm8	V	V	Extract the word specified by imm8 from mm and move it to reg, bits 15-0. The upper bits of r32 or r64 is zeroed.
66 0F C5 /r ib	PEXTRW reg, xmm, imm8	V	V	Extract the word specified by imm8 from xmm and move it to reg, bits 15-0. The upper bits of r32 or r64 is zeroed.
66 0F 3A 15 /r ib 	PEXTRW reg/m16, xmm, imm8 	V	V	Extract the word specified by imm8 from xmm and copy it to lowest 16 bits of reg or m16. Zero-extend the result in the destination, r32 or r64.
VEX.128.66.0F.W0 C5 /r ib 	VPEXTRW reg, xmm1, imm8 	V	V	Extract the word specified by imm8 from xmm1 and move it to reg, bits 15:0. Zero-extend the result. The upper bits of r64/r32 is filled with zeros.
VEX.128.66.0F3A.W0 15 /r ib 	VPEXTRW reg/m16, xmm2, imm8 	V	V	Extract a word integer value from xmm2 at the source word offset specified by imm8 into reg or m16. The upper bits of r64/r32 is filled with zeros.
				
0F 38 01 /r 	PHADDW mm1, mm2/m64	V	V	Add 16-bit integers horizontally, pack to MM1.
66 0F 38 01 /r	PHADDW xmm1, xmm2/m128	V	V	Add 16-bit integers horizontally, pack to XMM1.
0F 38 02 /r	PHADDD mm1, mm2/m64	V	V	Add 32-bit integers horizontally, pack to MM1.
66 0F 38 02 /r	PHADDD xmm1, xmm2/m128	V	V	Add 32-bit integers horizontally, pack to XMM1.
VEX.NDS.128.66.0F38.WIG 01 /r	VPHADDW xmm1, xmm2, xmm3/m128	V	V	Add 16-bit integers horizontally, pack to xmm1.
VEX.NDS.128.66.0F38.WIG 02 /r	VPHADDD xmm1, xmm2, xmm3/m128	V	V	Add 32-bit integers horizontally, pack to xmm1.
				
0F 38 03 /r 	PHADDSW mm1, mm2/m64	V	V	Add 16-bit signed integers horizontally, pack saturated integers to MM1.
66 0F 38 03 /r	PHADDSW xmm1, xmm2/m128	V	V	Add 16-bit signed integers horizontally, pack saturated integers to XMM1.
VEX.NDS.128.66.0F38.WIG 03 /r	VPHADDSW xmm1, xmm2, xmm3/m128	V	V	Add 16-bit signed integers horizontally, pack saturated integers to xmm1.
				
66 0F 38 41 /r 	PHMINPOSUW xmm1, xmm2/m128 	V	V	Find the minimum unsigned word in xmm2/m128 and place its value in the low word of xmm1 and its index in the second-lowest word of xmm1.
VEX.128.66.0F38.WIG 41 /r 	VPHMINPOSUW xmm1, xmm2/m128 	V	V	Find the minimum unsigned word in xmm2/m128 and place its value in the low word of xmm1 and its index in the second-lowest word of xmm1.
				
0F 38 05 /r 	PHSUBW mm1, mm2/m64	V	V	Subtract 16-bit signed integers horizontally, pack to MM1.
66 0F 38 05 /r	PHSUBW xmm1, xmm2/m128	V	V	Subtract 16-bit signed integers horizontally, pack to XMM1.
0F 38 06 /r	PHSUBD mm1, mm2/m64	V	V	Subtract 32-bit signed integers horizontally, pack to MM1.
66 0F 38 06 /r	PHSUBD xmm1, xmm2/m128	V	V	Subtract 32-bit signed integers horizontally, pack to XMM1
VEX.NDS.128.66.0F38.WIG 05 /r	VPHSUBW xmm1, xmm2, xmm3/m128	V	V	Subtract 16-bit signed integers horizontally, pack to xmm1.
VEX.NDS.128.66.0F38.WIG 06 /r	VPHSUBD xmm1, xmm2, xmm3/m128	V	V	Subtract 32-bit signed integers horizontally, pack to xmm1.
				
0F 38 07 /r 	PHSUBSW mm1, mm2/m64	V	V	Subtract 16-bit signed integer horizontally, pack saturated integers to MM1.
66 0F 38 07 /r	PHSUBSW xmm1, xmm2/m128	V	V	Subtract 16-bit signed integer horizontally, pack saturated integers to XMM1
VEX.NDS.128.66.0F38.WIG 07 /r	VPHSUBSW xmm1, xmm2, xmm3/m128	V	V	Subtract 16-bit signed integer horizontally, pack saturated integers to xmm1.
				
66 0F 3A 20 /r ib 	PINSRB xmm1, r32/m8, imm8 	V	V	Insert a byte integer value from r32/m8 into xmm1 at the destination element in xmm1 specified by imm8.
66 0F 3A 22 /r ib 	PINSRD xmm1, r/m32, imm8 	V	V	Insert a dword integer value from r/m32 into the xmm1 at the destination element specified by imm8.
66 REX.W+ 0F 3A 22 /r ib 	PINSRQ xmm1, r/m64, imm8 	NE	V	Insert a qword integer value from r/m64 into the xmm1 at the destination element specified by imm8.
VEX.NDS.128.66.0F3A.W0 20 /r ib 	VPINSRB xmm1, xmm2, r32/m8, imm8 	V	V	Merge a byte integer value from r32/m8 and rest from xmm2 into xmm1 at the byte offset in imm8.
VEX.NDS.128.66.0F3A.W0 22 /r ib 	VPINSRD xmm1, xmm2, r32/m32, imm8 	V	V	Insert a dword integer value from r32/m32 and rest from xmm2 into xmm1 at the dword offset in imm8.
VEX.NDS.128.66.0F3A.W1 22 /r ib 	VPINSRQ xmm1, xmm2, r64/m64, imm8 	V	I	Insert a qword integer value from r64/m64 and rest from xmm2 into xmm1 at the qword offset in imm8.
				
0F C4 /r ib 	PINSRW mm, r32/m16, imm8	V	V	Insert the low word from r32 or from m16 into mm at the word position specified by imm8
66 0F C4 /r ib	PINSRW xmm, r32/m16, imm8	V	V	Move the low word of r32 or from m16 into xmm at the word position specified by imm8.
VEX.NDS.128.66.0F.W0 C4 /r ib	VPINSRW xmm1, xmm2, r32/m16, imm8	V	V	Insert a word integer value from r32/m16 and rest from xmm2 into xmm1 at the word offset in imm8.
				
0F 38 04 /r 	PMADDUBSW mm1, mm2/m64	V	V	Multiply signed and unsigned bytes, add horizontal pair of signed words, pack saturated signed-words to MM1.
66 0F 38 04 /r	PMADDUBSW xmm1, xmm2/m128	V	V	Multiply signed and unsigned bytes, add horizontal pair of signed words, pack saturated signed-words to XMM1.
VEX.NDS.128.66.0F38.WIG 04 /r	VPMADDUBSW xmm1, xmm2, xmm3/m128	V	V	Multiply signed and unsigned bytes, add horizontal pair of signed words, pack saturated signed-words to xmm1.
				
0F F5 /r 	PMADDWD mm, mm/m64	V	V	Multiply the packed words in mm by the packed words in mm/m64, add adjacent doubleword results, and store in mm.
66 0F F5 /r	PMADDWD xmm1, xmm2/m128	V	V	Multiply the packed word integers in xmm1 by the packed word integers in xmm2/m128, add adjacent doubleword results, and store in xmm1.
VEX.NDS.128.66.0F.WIG F5 /r	VPMADDWD xmm1, xmm2, xmm3/m128	V	V	Multiply the packed word integers in xmm2 by the packed word integers in xmm3/m128, add adjacent doubleword results, and store in xmm1.
				
66 0F 38 3C /r 	PMAXSB xmm1, xmm2/m128 	V	V	Compare packed signed byte integers in xmm1 and xmm2/m128 and store packed maximum values in xmm1.
VEX.NDS.128.66.0F38.WIG 3C /r 	VPMAXSB xmm1, xmm2, xmm3/m128 	V	V	Compare packed signed byte integers in xmm2 and xmm3/m128 and store packed maximum values in xmm1.
				
66 0F 38 3D /r 	PMAXSD xmm1, xmm2/m128 	V	V	Compare packed signed dword integers in xmm1 and xmm2/m128 and store packed maximum values in xmm1.
VEX.NDS.128.66.0F38.WIG 3D /r 	VPMAXSD xmm1, xmm2, xmm3/m128 	V	V	Compare packed signed dword integers in xmm2 and xmm3/m128 and store packed maximum values in xmm1.
				
0F EE /r 	PMAXSW mm1, mm2/m64	V	V	Compare signed word integers in mm2/m64 and mm1 and return maximum values.
66 0F EE /r	PMAXSW xmm1, xmm2/m128	V	V	Compare signed word integers in xmm2/m128 and xmm1 and return maximum values.
VEX.NDS.128.66.0F.WIG EE /r	VPMAXSW xmm1, xmm2, xmm3/m128	V	V	Compare packed signed word integers in xmm3/m128 and xmm2 and store packed maximum values in xmm1.
				
0F DE /r 	PMAXUB mm1, mm2/m64	V	V	Compare unsigned byte integers in mm2/m64 and mm1 and returns maximum values.
66 0F DE /r	PMAXUB xmm1, xmm2/m128	V	V	Compare unsigned byte integers in xmm2/m128 and xmm1 and returns maximum values.
VEX.NDS.128.66.0F.WIG DE /r	VPMAXUB xmm1, xmm2, xmm3/m128	V	V	Compare packed unsigned byte integers in xmm2 and xmm3/m128 and store packed maximum values in xmm1.
				
66 0F 38 3F /r 	PMAXUD xmm1, xmm2/m128 	V	V	Compare packed unsigned dword integers in xmm1 and xmm2/m128 and store packed maximum values in xmm1.
VEX.NDS.128.66.0F38.WIG 3F /r 	VPMAXUD xmm1, xmm2, xmm3/m128 	V	V	Compare packed unsigned dword integers in xmm2 and xmm3/m128 and store packed maximum values in xmm1.
				
66 0F 38 3E /r 	PMAXUW xmm1, xmm2/m128 	V	V	Compare packed unsigned word integers in xmm1 and xmm2/m128 and store packed maximum values in xmm1.
VEX.NDS.128.66.0F38.WIG 3E /r 	VPMAXUW xmm1, xmm2, xmm3/m128 	V	V	Compare packed unsigned word integers in xmm3/m128 and xmm2 and store maximum packed values in xmm1.
				
